,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
1674,white-bread-shield-for-arduino,us,Hardware,2013-12-12 01:23:34,2.0,united states,False,1,32.07266435986159,0
1700,the-dart,us,Web,2017-01-20 19:07:09,1.0,united states,False,1,55.443396226415096,1
1704,situate,us,Web,2016-05-04 17:01:58,2.0,united states,False,1,67.33823529411765,1
1712,soundjaw-ipad-2-sound-booster-and-audio-enhancer,us,Software,2011-05-04 03:44:21,3.0,united states,False,1,25.406593406593405,0
1714,bridge-shield-a-common-shield-for-raspberry-pi-and,in,Hardware,2015-04-24 17:23:09,3.0,united states,False,0,59.91111111111111,0
1715,freesoc-and-freesoc-mini,us,Hardware,2012-09-27 02:21:53,1.0,united states,False,1,76.13850000000001,0
1716,geekcentricorg-one-website-to-inform-them-all,us,Web,2017-06-06 12:45:59,1.0,united states,False,1,66.1641935483871,1
1717,waterproof-removable-battery-case-ibattz-mojo-refu,us,Hardware,2013-07-15 05:19:00,3.0,united states,False,1,150.81927710843374,6
1718,are-we-europe-best-of-2017,nl,Web,2017-12-19 21:15:51,1.0,netherlands,False,1,52.1849209057317,1
1725,nudock-a-dock-that-turns-your-smartphone-to-a-comp,us,Gadgets,2019-02-08 19:26:23,1.0,united states,False,1,80.87262491203379,6
1730,pcb-quick-connect-clip-40-pin-raspberry-pi-compati,au,DIY Electronics,2017-11-06 18:15:13,7.0,united states,False,1,45.63719763320611,0
1738,xlr8-arduino-compatible-fpga-based-application-acc,us,Hardware,2015-11-02 21:17:43,1.0,united states,False,0,82.6896551724138,0
1751,lap-top-sleeve-and-beverage-holder,us,Gadgets,2017-06-16 12:13:41,3.0,united states,False,1,82.23333333333333,6
1768,ledunia-the-wifi-enabled-iot-dev-board-made-in-ger,de,Technology,2017-04-14 10:00:38,1.0,germany,False,1,107.07801185114583,0
1778,arduino-project-board,us,Hardware,2011-05-08 17:07:48,3.0,united states,False,1,31.29932584269663,0
1784,ethical-style-journal-for-fashion-made-with-love,us,Web,2016-08-10 04:06:52,2.0,united states,False,0,67.06521739130434,1
1785,ezee-wrap-the-one-handed-tape-dispenser,gb,Gadgets,2018-08-02 20:08:03,2.0,united states,False,1,27.12847945447853,0
1806,heartbeats-radio-og-kultursite,dk,Web,2015-06-17 06:45:56,1.0,denmark,False,1,41.06351445,1
1819,whisper-node,au,Hardware,2016-03-14 21:25:21,1.0,united states,False,1,61.66535405695187,0
1821,aurore-erotica-updated,us,Web,2019-06-03 15:01:57,1.0,united states,False,1,49.890375,1
1833,voltus-mobile-power-expansion-for-your-macbook,us,Hardware,2015-05-19 16:31:04,1.0,united states,False,1,153.53131313131314,6
1841,arduino-16-channel-digital-power-shield,us,Hardware,2013-08-27 16:26:19,1.0,united states,False,1,41.41935483870968,0
1844,make-100-musiccloth-silhouette-portrait,us,Technology,2019-01-03 06:23:27,5.0,united states,False,1,69.5909090909091,0
1857,no-more-cold-hands-the-future-of-gaming-and-workst,dk,Hardware,2017-03-01 17:00:01,1.0,united states,False,1,79.04253537037906,0
1877,tekdaqc-robust-precise-data-acquisition-and-contro,us,Hardware,2013-05-06 21:56:18,2.0,united states,False,1,215.4361842105263,0
1883,gratitude-tipping-app,gb,Technology,2019-03-20 10:03:11,1.0,united kingdom,False,0,22.970283291999998,1
1884,controleo-an-arduino-compatible-controller,us,Hardware,2013-10-22 17:03:08,5.0,united states,False,1,63.81395348837209,0
1893,sex-ed-with-db-podcast-equipment,us,Sound,2017-07-05 15:43:34,1.0,united states,False,1,25.862068965517242,1
1899,vu-wireless-charger-free-positioning-wireless-char,us,Hardware,2013-05-28 19:00:45,4.0,united states,False,1,72.60770089285714,6
1913,femsplain-feminism-full-time,us,Web,2015-02-02 14:00:18,1.0,united states,False,1,39.24103846153846,1
1914,mcchi-lock,us,Hardware,2014-10-23 06:14:12,3.0,united states,False,1,100.30864197530865,6
1916,the-arduino-compatible-rfid-reader-module-with-eep,ca,DIY Electronics,2017-11-16 23:41:35,31.0,united states,False,1,78.22809956,0
1918,safe-tub-faucet,us,Hardware,2017-03-18 06:38:23,1.0,united states,False,0,62.69230769230769,6
1924,refresherboxx-cleans-and-dries-your-shoes-and-shir,de,Hardware,2018-05-23 12:00:14,1.0,germany,False,0,769.4022731463793,6
1928,snrpress-news-and-entertainment-from-an-urban-pers,us,Web,2017-08-14 16:55:46,2.0,united states,False,0,363.2142857142857,1
1930,ultimate-macbook-case-protect-from-drops-and-accid,us,Hardware,2016-10-12 23:03:28,3.0,united states,False,0,31.645833333333332,6
1943,maori-mbt-awareness-centre,nz,Web,2017-08-19 20:13:55,1.0,united states,False,0,93.16949246,1
1962,daze-magazine,ca,Web,2019-01-22 22:00:33,1.0,canada,False,1,31.58031776018614,1
