,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
2871,k-collectible-playing-cards,ca,Playing Cards,2019-04-24 13:33:12,1.0,united states,False,1,38.87955448402011,5
2885,dangerous-descents-2,gb,Tabletop Games,2018-09-01 18:00:06,6.0,united states,False,1,27.860047613710936,6
2891,impressions-rising-sun-and-aozora-ed-playing-cards,us,Playing Cards,2019-02-19 15:32:35,9.0,united states,False,1,33.64707430340557,5
2899,primordial-greek-mythology-playing-cards,gb,Playing Cards,2019-01-27 19:58:47,1.0,united states,False,1,62.61234478028409,5
2906,xoxo-blood-droplets-a-horror-visual-novel,us,Video Games,2018-10-31 23:30:07,4.0,united states,False,1,36.377245508982035,1
2911,divide-otome-visual-novel,us,Video Games,2015-05-03 17:40:45,1.0,united states,False,1,62.12280701754386,1
2925,olympus-playing-cards-0,us,Playing Cards,2018-12-25 02:18:38,3.0,united states,False,1,37.5,5
2940,caligula-dreams,us,Video Games,2015-07-26 13:31:15,16.0,united states,False,1,15.46875,1
2942,the-wonderful-wizard-of-oz-playing-cards,us,Playing Cards,2018-12-18 22:39:41,2.0,united states,False,1,25.29268292682927,5
2944,descent-into-mirefen-a-dandd-5e-adventure,us,Tabletop Games,2019-04-17 00:43:49,3.0,united states,False,1,10.746105919003115,6
2956,deck-of-many-things-with-art-by-stasia-burrington,us,Tabletop Games,2018-10-27 16:43:05,2.0,united states,False,1,48.79831932773109,5
2964,beach-bounce,gb,Video Games,2015-02-20 20:23:16,12.0,united states,False,1,31.289648452575342,1
2969,the-weird-cat-tarot,us,Playing Cards,2019-02-25 14:36:15,2.0,united states,False,1,47.333333333333336,5
2971,nemesis-of-the-nin-witch-0,gb,Games,2019-05-07 15:28:26,2.0,united states,False,1,53.02256146501698,6
2992,circus-nostalgic-playing-cards-the-greatest-deck-o,us,Playing Cards,2018-10-12 02:59:25,16.0,united states,False,1,25.85234899328859,5
2998,kokorogawari-a-romantic-drama-visual-novel,sg,Video Games,2016-12-01 03:53:50,1.0,united states,False,1,39.40574836566433,1
3010,welcome-to-manaheim-an-adult-furry-visual-novel,ca,Video Games,2018-10-05 20:00:20,1.0,united states,False,1,81.50318026733788,1
3023,sword-of-asumi,gb,Video Games,2014-10-19 18:35:23,12.0,united states,False,1,46.57737375813084,1
3032,singularity-playing-cards,us,Playing Cards,2019-05-03 17:02:21,1.0,united states,False,0,53.78260869565217,5
3036,1001-nights-magic-from-the-golden-age-printed-by-u,ch,Playing Cards,2018-12-06 16:30:44,2.0,united states,False,1,72.3320157163828,5
3040,reska-a-yuri-visual-novel,us,Video Games,2017-11-19 20:18:01,3.0,united states,False,1,45.34199134199134,1
